	nutrient cycling	primary production	soil formation	food	raw materials	genetic resources	water	biogenic minerals	medicinal resources	energy	ornamental resources	pollination	carbon storage	decomp.	water quality	air quality	pest control	cultural use	spirituality	recreation	human life
nutrient cycling		1	1	1	1	1	1	1					1	1	1	1					1
primary production	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1
soil formation	1	1		1	1	1	1	1					1	1	1	1		1	1	1	1
food					1		1						1				1	1	1		1
raw materials				1						1	1									1	1
genetic resources								1	1		1		1	1	1	1					1
water	1	1	1	1	1					1			1	1	1	1		1	1	1	1
biogenic minerals										1	1							1	1		1
medicinal resources				1																	1
energy				1							1		1	1	1	1	1			1	1
ornamental resources																		1	1	1	1
pollination				1		1			1		1							1	1		1
carbon storage	1	1	1	1			1							1	1	1	1	1		1	1
decomp.	1	1	1	1	1		1						1		1	1					1
water quality	1	1	1	1			1						1	1		1	1			1	1
air quality	1	1	1	1			1						1	1	1					1	1
pest control				1	1	1			1			1						1		1	1
cultural use											1								1		1
spirituality											1							1			1
recreation																		1	1		1
human life	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
